x,T_K,Dn_m2_per_s,Dp_m2_per_s
0.778337,298.00,4.000000e-15,4.000000e-15
0.783352,298.00,4.000000e-15,4.000000e-15
0.788367,298.00,4.000000e-15,4.000000e-15
0.793382,298.00,4.000000e-15,4.000000e-15
0.798397,298.00,4.000000e-15,4.000000e-15
0.803412,298.00,4.000000e-15,4.000000e-15
0.808427,298.00,4.000000e-15,4.000000e-15
0.813442,298.00,4.000000e-15,4.000000e-15
0.818457,298.00,4.000000e-15,4.000000e-15
0.823472,298.00,4.000000e-15,4.000000e-15
0.828487,298.00,4.000000e-15,4.000000e-15
0.833503,298.00,4.000000e-15,4.000000e-15
0.838518,298.00,4.000000e-15,4.000000e-15
0.843533,298.00,4.000000e-15,4.000000e-15
0.848548,298.00,4.000000e-15,4.000000e-15
0.853563,298.00,4.000000e-15,4.000000e-15
0.858578,298.00,4.000000e-15,4.000000e-15
0.863593,298.00,4.000000e-15,4.000000e-15
0.868608,298.00,4.000000e-15,4.000000e-15
0.873623,298.00,4.000000e-15,4.000000e-15
0.878638,298.00,4.000000e-15,4.000000e-15
0.883653,298.00,4.000000e-15,4.000000e-15
0.888668,298.00,4.000000e-15,4.000000e-15
0.893683,298.00,4.000000e-15,4.000000e-15
0.898698,298.00,4.000000e-15,4.000000e-15
0.903714,298.00,4.000000e-15,4.000000e-15
0.908729,298.00,4.000000e-15,4.000000e-15
0.913744,298.00,4.000000e-15,4.000000e-15
0.918759,298.00,4.000000e-15,4.000000e-15
0.923774,298.00,4.000000e-15,4.000000e-15
0.928789,298.00,4.000000e-15,4.000000e-15
0.933804,298.00,4.000000e-15,4.000000e-15
0.938819,298.00,4.000000e-15,4.000000e-15
0.943834,298.00,4.000000e-15,4.000000e-15
0.948849,298.00,4.000000e-15,4.000000e-15
0.953864,298.00,4.000000e-15,4.000000e-15
0.958879,298.00,4.000000e-15,4.000000e-15
0.963894,298.00,4.000000e-15,4.000000e-15
0.968910,298.00,4.000000e-15,4.000000e-15
0.973925,298.00,4.000000e-15,4.000000e-15
0.978940,298.00,4.000000e-15,4.000000e-15
0.983955,298.00,4.000000e-15,4.000000e-15
0.988970,298.00,4.000000e-15,4.000000e-15
0.993985,298.00,4.000000e-15,4.000000e-15
0.999000,298.00,4.000000e-15,4.000000e-15
0.001000,323.15,4.000000e-15,4.000000e-15
0.006015,323.15,4.000000e-15,4.000000e-15
0.011030,323.15,4.000000e-15,4.000000e-15
0.016045,323.15,4.000000e-15,4.000000e-15
0.021060,323.15,4.000000e-15,4.000000e-15
0.026075,323.15,4.000000e-15,4.000000e-15
0.031090,323.15,4.000000e-15,4.000000e-15
0.036106,323.15,4.000000e-15,4.000000e-15
0.041121,323.15,4.000000e-15,4.000000e-15
0.046136,323.15,4.000000e-15,4.000000e-15
0.051151,323.15,4.000000e-15,4.000000e-15
0.056166,323.15,4.000000e-15,4.000000e-15
0.061181,323.15,4.000000e-15,4.000000e-15
0.066196,323.15,4.000000e-15,4.000000e-15
0.071211,323.15,4.000000e-15,4.000000e-15
0.076226,323.15,4.000000e-15,4.000000e-15
0.081241,323.15,4.000000e-15,4.000000e-15
0.086256,323.15,4.000000e-15,4.000000e-15
0.091271,323.15,4.000000e-15,4.000000e-15
0.096286,323.15,4.000000e-15,4.000000e-15
0.101302,323.15,4.000000e-15,4.000000e-15
0.106317,323.15,4.000000e-15,4.000000e-15
0.111332,323.15,4.000000e-15,4.000000e-15
0.116347,323.15,4.000000e-15,4.000000e-15
0.121362,323.15,4.000000e-15,4.000000e-15
0.126377,323.15,4.000000e-15,4.000000e-15
0.131392,323.15,4.000000e-15,4.000000e-15
0.136407,323.15,4.000000e-15,4.000000e-15
0.141422,323.15,4.000000e-15,4.000000e-15
0.146437,323.15,4.000000e-15,4.000000e-15
0.151452,323.15,4.000000e-15,4.000000e-15
0.156467,323.15,4.000000e-15,4.000000e-15
0.161482,323.15,4.000000e-15,4.000000e-15
0.166497,323.15,4.000000e-15,4.000000e-15
0.171513,323.15,4.000000e-15,4.000000e-15
0.176528,323.15,4.000000e-15,4.000000e-15
0.181543,323.15,4.000000e-15,4.000000e-15
