x,Up_V,Un_V,OCV_V
0.25099900,4.33338264,0.19447847,4.13890418
0.25149800,4.33177478,0.19418498,4.13758980
0.25199700,4.33016523,0.19389004,4.13627519
0.25249600,4.32855421,0.19359368,4.13496053
0.25299500,4.32694192,0.19329591,4.13364602
0.25349400,4.32532857,0.19299674,4.13233183
0.25399300,4.32371438,0.19269620,4.13101818
0.25449200,4.32209956,0.19239431,4.12970525
0.25499100,4.32048434,0.19209108,4.12839326
0.25549000,4.31886895,0.19178654,4.12708241
0.25598900,4.31725360,0.19148070,4.12577290
0.25648800,4.31563855,0.19117359,4.12446495
0.25698700,4.31402401,0.19086524,4.12315878
0.25748600,4.31241024,0.19055565,4.12185459
0.25798500,4.31079748,0.19024487,4.12055261
0.25848400,4.30918597,0.18993290,4.11925307
0.25898300,4.30757597,0.18961979,4.11795618
0.25948200,4.30596772,0.18930554,4.11666218
0.25998100,4.30436148,0.18899019,4.11537130
0.26048000,4.30275752,0.18867376,4.11408376
0.26097900,4.30115609,0.18835628,4.11279981
