coh_id,n1_bot,n2_bot,n4_top,n3_top,length,layer_idx
203,291,371,1894,1974,6.455808000000003e-8,1
204,371,211,1974,1814,1.291161600000001e-7,1
205,211,1412,1814,3015,9.715196335529394e-7,1
206,1412,1572,3015,3175,1.2911615999999995e-7,1
207,1572,1252,3175,2855,2.5823232000000005e-7,1
208,1252,1092,2855,2695,1.2911616000000005e-7,1
209,1092,852,2695,2455,1.9367424e-7,1
210,852,932,2455,2535,6.455808e-8,1
211,932,772,2535,2375,1.2911615999999995e-7,1
212,772,612,2375,2215,1.2911616e-7,1
213,612,692,2215,2295,6.455808e-8,1
214,692,532,2295,2135,1.2911616e-7,1
215,532,212,2135,1815,2.5823232e-7,1
216,212,132,1815,1735,6.455807999999997e-8,1
217,132,452,1735,2055,2.5823232e-7,1
218,452,1652,2055,3255,9.683712000000003e-7,1
219,1652,292,3255,1895,1.09748736e-6,1
220,292,372,1895,1975,6.455808000000007e-8,1
221,372,1492,1975,3095,9.0381312e-7,1
222,1492,1332,3095,2935,1.291161599999999e-7,1
223,1332,1172,2935,2775,1.291161600000001e-7,1
224,1172,1012,2775,2615,1.2911616000000005e-7,1
225,1012,1573,2615,3176,4.65051381978256e-7,1
226,1573,1413,3176,3016,1.2911616000000003e-7,1
227,1413,1253,3016,2856,1.2911616000000003e-7,1
228,1253,1093,2856,2696,1.2911616000000005e-7,1
229,1093,933,2696,2536,1.2911616000000003e-7,1
230,933,1653,2536,3256,5.810227200000001e-7,1
231,1653,1493,3256,3096,1.2911616000000005e-7,1
232,1493,1333,3096,2936,1.2911615999999992e-7,1
233,1333,1173,2936,2776,1.2911616000000013e-7,1
234,1173,1013,2776,2616,1.2911616000000013e-7,1
235,1013,213,2616,1816,6.455807999999998e-7,1
236,213,773,1816,2376,4.519065599999999e-7,1
237,773,853,2376,2456,6.455808000000007e-8,1
238,853,133,2456,1736,5.810227200000001e-7,1
239,133,613,1736,2216,3.8734848e-7,1
240,613,693,2216,2296,6.455808000000005e-8,1
241,693,453,2296,2056,1.9367424000000007e-7,1
242,453,533,2056,2136,6.455808e-8,1
243,533,293,2136,1896,1.9367424e-7,1
244,293,373,1896,1976,6.455808000000001e-8,1
245,373,1654,1976,3257,1.0368706583291691e-6,1
246,1654,1494,3257,3097,1.2911616e-7,1
247,1494,1334,3097,2937,1.2911616000000005e-7,1
248,1334,1174,2937,2777,1.2911616000000008e-7,1
249,1174,1014,2777,2617,1.2911615999999992e-7,1
250,1014,854,2617,2457,1.291161600000001e-7,1
251,854,774,2457,2377,6.455807999999997e-8,1
252,774,534,2377,2137,1.9367423999999994e-7,1
253,534,614,2137,2217,6.455807999999993e-8,1
254,614,694,2217,2297,6.455808e-8,1
255,694,454,2297,2057,1.936742399999999e-7,1
256,454,294,2057,1897,1.2911616000000003e-7,1
257,294,374,1897,1977,6.455808000000005e-8,1
258,374,214,1977,1817,1.2911616000000005e-7,1
259,214,134,1817,1737,6.455808e-8,1
260,134,1414,1737,3017,1.0329292800000002e-6,1
261,1414,1574,3017,3177,1.2911616e-7,1
262,1574,1094,3177,2697,3.873484800000003e-7,1
263,1094,1254,2697,2857,1.2911616000000003e-7,1
264,1254,934,2857,2537,2.5823232e-7,1
265,934,1655,2537,3258,5.913294443331208e-7,1
266,1655,1495,3258,3098,1.2911616000000008e-7,1
267,1495,1335,3098,2938,1.2911615999999987e-7,1
268,1335,1175,2938,2778,1.291161600000002e-7,1
269,1175,1015,2778,2618,1.2911616000000003e-7,1
270,1015,455,2618,2058,4.5190656e-7,1
271,455,215,2058,1818,1.9367424e-7,1
272,215,295,1818,1898,6.455807999999999e-8,1
273,295,375,1898,1978,6.455808e-8,1
274,375,1415,1978,3018,8.392550400000001e-7,1
275,1415,1575,3018,3178,1.2911615999999997e-7,1
276,1575,1095,3178,2698,3.873484800000002e-7,1
277,1095,1255,2698,2858,1.2911616000000005e-7,1
278,1255,135,2858,1738,9.0381312e-7,1
279,135,855,1738,2458,5.8102272e-7,1
280,855,935,2458,2538,6.455808000000009e-8,1
281,935,775,2538,2378,1.2911616000000003e-7,1
282,775,535,2378,2138,1.9367424e-7,1
