coh_id,n1_bot,n2_bot,n4_top,n3_top,length,interface_type
306,4092,4093,34380,34381,1.586511746036972e-8,PE_PCC
307,4093,4094,34381,34382,1.5877633085105838e-8,PE_PCC
308,4094,4095,34382,34383,1.589014871487763e-8,PE_PCC
309,4095,4096,34383,34384,1.590266434967091e-8,PE_PCC
310,4096,4097,34384,34385,1.5915179989476147e-8,PE_PCC
311,4097,4098,34385,34386,1.5927695634280817e-8,PE_PCC
312,4098,4099,34386,34387,1.5940211284073046e-8,PE_PCC
313,4099,4100,34387,34388,1.5952726938841987e-8,PE_PCC
314,4100,4101,34388,34389,1.596524259857345e-8,PE_PCC
315,4101,4102,34389,34390,1.5977758263258232e-8,PE_PCC
316,4102,4103,34390,34391,1.5990273932883886e-8,PE_PCC
317,4103,4104,34391,34392,1.6002789607439626e-8,PE_PCC
318,4104,4105,34392,34393,1.601530528691146e-8,PE_PCC
319,4105,4106,34393,34394,1.6027820971290313e-8,PE_PCC
320,4106,4107,34394,34395,1.6040336660563886e-8,PE_PCC
321,4107,4108,34395,34396,1.6052852354720723e-8,PE_PCC
322,4108,4109,34396,34397,1.606536805375021e-8,PE_PCC
323,4109,4110,34397,34398,1.6077883757638595e-8,PE_PCC
324,4110,4111,34398,34399,1.609039946637685e-8,PE_PCC
325,4111,4112,34399,34400,1.6102915179953028e-8,PE_PCC
326,4112,4113,34400,34401,1.6115430898356524e-8,PE_PCC
327,4113,4114,34401,34402,1.6127946621573688e-8,PE_PCC
328,4114,4115,34402,34403,1.614046234959583e-8,PE_PCC
329,4115,4116,34403,34404,1.615297808241097e-8,PE_PCC
330,4116,4117,34404,34405,1.616549382000785e-8,PE_PCC
331,4117,4118,34405,34406,1.6178009562376253e-8,PE_PCC
332,4118,4119,34406,34407,1.619052530950274e-8,PE_PCC
333,4119,4120,34407,34408,1.6203041061378647e-8,PE_PCC
334,4120,4121,34408,34409,1.6215556817992206e-8,PE_PCC
335,4121,4122,34409,34410,1.622807257933317e-8,PE_PCC
336,4122,4123,34410,34411,1.6240588345388382e-8,PE_PCC
337,4123,4124,34411,34412,1.6253104116149115e-8,PE_PCC
338,4124,4125,34412,34413,1.6265619891604e-8,PE_PCC
339,4125,4126,34413,34414,1.6278135671741893e-8,PE_PCC
340,4126,4127,34414,34415,1.6290651456553083e-8,PE_PCC
341,4127,4128,34415,34416,1.6303167246024175e-8,PE_PCC
342,4128,4129,34416,34417,1.6315683040146956e-8,PE_PCC
343,4129,4130,34417,34418,1.6328198838909914e-8,PE_PCC
344,4130,4131,34418,34419,1.6340714642303342e-8,PE_PCC
345,4131,4132,34419,34420,1.6353230450313874e-8,PE_PCC
346,4132,4133,34420,34421,1.6365746262933576e-8,PE_PCC
347,4133,4134,34421,34422,1.6378262080151042e-8,PE_PCC
348,4134,4135,34422,34423,1.639077790195564e-8,PE_PCC
349,4135,4136,34423,34424,1.6403293728337875e-8,PE_PCC
350,4136,4137,34424,34425,1.6415809559284518e-8,PE_PCC
351,4137,4138,34425,34426,1.6428325394787886e-8,PE_PCC
352,4138,4139,34426,34427,1.644084123483666e-8,PE_PCC
