capacity [A.h],voltage [V],temperature [K],temperature max [K]
2.0856249999999936,3.7474837863704327,301.2347396377521,301.81279676433417
2.08979166666666,3.746731334175583,301.23675753631665,301.8154515716635
2.093958333333327,3.745977738377184,301.23876921315696,301.81809879946155
2.0981249999999934,3.745222973305546,301.24077470046416,301.82073848456383
2.1022916666666602,3.744467045850502,301.2427740303202,301.8233706637121
2.1064583333333267,3.7437099353732384,301.2447672346991,301.82599537351587
2.1106249999999935,3.7429516534430936,301.246754345468,301.8286126504868
2.11479166666666,3.742192184248588,301.248735394387,301.831222531028
2.118958333333327,3.7414315438383046,301.25071041311,301.83382505141526
2.1231249999999933,3.7406697210260487,301.252679433186,301.8364202478298
2.12729166666666,3.7399067361408442,301.2546424860586,301.839008156315
2.1314583333333266,3.7391425824210662,301.25659960306695,301.8415888128421
2.1356249999999934,3.7383772842785734,301.2585508154472,301.8441622532652
2.1397916666666603,3.7376108391767335,301.2604961543321,301.8467285133015
2.1439583333333267,3.736843275413554,301.26243565075174,301.84928762858766
2.1481249999999936,3.7360745944785996,301.26436933563446,301.8518396346503
2.15229166666666,3.7353048283600123,301.2662972398069,301.8543845669132
2.156458333333327,3.734533982375298,301.2682193939952,301.85692246067674
2.1606249999999934,3.7337620920070136,301.2701358288254,301.85945335115946
2.16479166666666,3.7329891662025827,301.27204657482423,301.86197727345933
2.1689583333333267,3.7322152437433256,301.2739516624189,301.8644942625512
2.173124999999993,3.7314403370084834,301.275851121938,301.8670043533621
2.17729166666666,3.7306644878822834,301.2777449836129,301.8695075806871
2.1814583333333264,3.7298877119774003,301.2796332775771,301.8720039792041
2.1856249999999933,3.7291100540847038,301.28151603386743,301.87449358350045
2.1897916666666597,3.7283315328514384,301.2833932824246,301.87697642805944
2.1939583333333266,3.7275521957782654,301.28526505309395,301.879452547263
2.198124999999993,3.726772064347528,301.2871313756253,301.8819219754256
2.20229166666666,3.725991188572166,301.28899227967395,301.8843847467347
2.2064583333333263,3.7252095925694815,301.29084779480144,301.8868408952676
2.210624999999993,3.7244273286664735,301.29269795047577,301.889290455025
2.21479166666666,3.7236444234145964,301.2945427760725,301.8917334598905
2.2189583333333265,3.7228609312560215,301.2963823008743,301.8941699436594
2.2231249999999934,3.7220768809749516,301.2982165540724,301.8965999400411
2.22729166666666,3.7212923289292927,301.30004556476604,301.89902348263297
2.2314583333333267,3.7205073059341474,301.301869361965,301.9014406049624
2.235624999999993,3.719721870063326,301.30368797458806,301.90385134044607
2.23979166666666,3.718936053960737,301.3055014314642,301.90625572239975
2.2439583333333264,3.7181499172161443,301.3073097613343,301.9086537840508
2.2481249999999933,3.717363494100203,301.30911299284975,301.91104555853553
